TeamId,TeamName,SubmissionDate,Score
24969,jeebann,"2012-10-04 13:49:16",0.72249
24969,jeebann,"2012-10-04 13:56:03",0.74163
25501,Ace,"2012-10-12 12:46:13",0.76555
25501,Ace,"2012-10-12 14:24:45",0.77512
25501,Ace,"2012-10-14 01:44:17",0.78469
26421,etnewton,"2012-10-24 14:50:52",0.00000
26421,etnewton,"2012-10-24 15:01:09",0.76555
26421,etnewton,"2012-10-26 02:06:12",0.77033
25501,Ace,"2012-10-30 20:54:45",0.80861
27240,Liviu,"2012-11-01 23:55:54",0.77990
28149,jpromvi,"2012-11-13 14:07:58",0.77990
28149,jpromvi,"2012-11-17 15:27:37",0.78947
28980,predict-r,"2012-11-26 06:52:34",0.00000
28980,predict-r,"2012-11-27 06:17:28",0.75598
29333,hutchinson_hatch_jr,"2012-11-30 14:06:01",0.72249
29333,hutchinson_hatch_jr,"2012-11-30 15:31:25",0.75120
30143,akshay,"2012-12-11 12:33:56",0.75598
30143,akshay,"2012-12-11 12:48:35",0.78469
31750,statIsFun,"2012-12-28 06:31:01",0.76077
26421,etnewton,"2013-01-02 19:32:09",0.78469
32658,DavidG,"2013-01-13 15:16:56",0.76555
31750,statIsFun,"2013-02-06 19:02:52",0.77512
34207,niraj.nijju,"2013-02-07 15:59:27",0.76555
32902,Gaussians,"2013-02-16 05:36:55",0.76555
36278,GoDevils,"2013-03-08 03:23:43",0.76555
36961,Analyticsbd,"2013-03-16 20:31:12",0.74641
36961,Analyticsbd,"2013-03-17 17:49:41",0.79426
38797,"Stéphane MB","2013-04-05 17:44:39",0.74641
38797,"Stéphane MB","2013-04-12 16:07:48",0.75598
38797,"Stéphane MB","2013-04-12 16:51:51",0.77512
40411,Irene,"2013-04-18 12:49:56",0.77990
38797,"Stéphane MB","2013-04-18 13:02:51",0.80861
44282,"Archit Agarwal","2013-05-24 11:28:05",0.58852
44282,"Archit Agarwal","2013-05-24 12:55:28",0.62679
44282,"Archit Agarwal","2013-05-27 09:41:22",0.76555
44282,"Archit Agarwal","2013-05-27 10:00:37",0.77990
46578,bkey,"2013-06-09 01:40:27",0.79426
25151,Thufir,"2013-06-09 07:23:19",0.78947
46547,"Andres Kull","2013-06-09 12:08:11",0.75120
46876,26046,"2013-06-09 23:11:36",0.73206
46876,26046,"2013-06-09 23:20:07",0.74163
46876,26046,"2013-06-09 23:26:27",0.75120
46547,"Andres Kull","2013-06-10 00:13:02",0.75598
46547,"Andres Kull","2013-06-10 00:23:32",0.76555
46547,"Andres Kull","2013-06-10 01:20:13",0.78469
47374,"Eric Chen","2013-06-11 02:42:42",0.59330
47374,"Eric Chen","2013-06-11 03:21:08",0.62201
47374,"Eric Chen","2013-06-11 03:25:13",0.73684
47374,"Eric Chen","2013-06-11 03:32:41",0.76077
47374,"Eric Chen","2013-06-12 00:19:48",0.76555
48327,ciambella,"2013-06-13 09:24:40",0.71770
48327,ciambella,"2013-06-13 09:51:46",0.74641
48327,ciambella,"2013-06-13 14:54:11",0.79426
47003,"Jed Aureus Gonzales","2013-06-13 15:21:21",0.76555
48753," Spas","2013-06-14 09:39:52",0.00000
47374,"Eric Chen","2013-06-14 09:44:25",0.77990
47374,"Eric Chen","2013-06-14 09:49:08",0.78947
47374,"Eric Chen","2013-06-14 09:52:21",0.79904
48753," Spas","2013-06-14 09:55:09",0.75120
49651,"Luis Cunha","2013-06-16 04:17:09",0.63636
49990,"Stefano Romano","2013-06-16 16:50:19",0.76077
50000,"Anton Vildyaev","2013-06-16 17:13:06",0.76555
51248,"Sean Curran","2013-06-18 01:55:18",0.76077
48753," Spas","2013-06-22 10:22:08",0.76555
48753," Spas","2013-06-22 18:04:07",0.77033
48327,ciambella,"2013-06-25 15:23:51",0.79904
52247,uniflow,"2013-06-27 17:47:18",0.77033
